organization_id,supervising_agency_id,agency_id,bureau_office,division,department,section,team,unit
1643,16,16,総合通信基盤局,基幹・衛星移動通信課,電波部,重要無線室,,
1644,16,16,統計研究研修所,研修企画課,管理・研修部,,,
1645,16,16,政策統括官（統計制度担当）室,統計審査官室,,,,
1646,16,18,消防庁,防災課,国民保護・防災部,広域応援室,,
1647,16,18,消防庁,消防・救急課,,救急企画室,,
1648,16,18,消防庁,防災課,国民保護・防災部,,,
1649,16,18,消防庁,参事官室,国民保護・防災部,,,
1650,16,18,消防庁消防大学校,庶務課,,,,
1651,16,18,消防庁,総務課,,,,
1652,16,16,情報流通行政局,情報流通振興課,,情報流通適正化推進室,,
1653,23,23,中東アフリカ局,アフリカ第二課,アフリカ部,,,
1654,23,23,総合外交政策局,安全保障協力課,,,,
1655,23,23,国際協力局,地球規模課題総括課,,専門機関室,,
1656,23,23,総合外交政策局,安全保障政策課,,国際平和・安全保障協力室　廃止,,
1657,23,23,国際法局,条約課,,,,
1658,34,34,資源エネルギー庁,政策課,省エネルギー・新エネルギー部,制度審議室,,
1659,26,26,初等中等教育局,学校情報基盤・教材課,,,,
1660,26,26,総合教育政策局,教育人材政策課,,教員養成企画室,,教育大学係
1661,26,26,初等中等教育局,参事官（高等学校担当）,,,,企画係
1662,26,26,大臣官房,会計課,,,管理班,企画渉外係
1663,26,28,,参事官（芸術文化担当）,,,,総括・顕彰係
1664,26,26,総合教育政策局,地域学習推進課,,,,庶務係
1665,26,26,研究振興局,研究振興戦略官,,,,
1666,38,38,水管理・国土保全局,水道事業課,,水道計画指導室,,
1667,29,29,政策統括官,,,賃金福祉統計室,,安全衛生第二係
1668,29,29,老健局,認知症施策・地域介護推進課,,,,基準第二係
1669,29,29,老健局,老人保健課,,,,調査係
1670,29,29,老健局,高齢者支援課,,,,福祉用具・住宅改修係
1671,29,29,老健局,高齢者支援課,,,,高齢者居住支援係
1672,29,29,老健局,認知症施策・地域介護推進課,,,,人材研修係
1673,29,29,老健局,認知症施策・地域介護推進課,,地域づくり推進室,,生活支援サービス係
1674,29,29,社会・援護局,保護課,,,,保護係
1675,34,34,商務情報政策局,情報技術利用促進課,,,,
1676,34,34,商務情報政策局商務・サービスG,キャッシュレス推進室,,,,
1677,31,33,,管理調整課,資源管理部,沿岸・遊漁室,,
1678,34,34,貿易経済安全保障局,総務課,,,,
1679,34,34,大臣官房福島復興推進G,福島新産業・雇用創出推進室,,,,
